eu_code;Italiano;Deutsch;English;Français
A1;Cereali contenenti glutine, vale a dire: grano (farro e grano khorasan), segale, orzo, avena o i loro ceppi ibridati e prodotti derivati;Glutenhaltiges Getreide, namentlich Weizen (wie Dinkel und Khorasan Weizen), Roggen, Gerste, Hafer oder Hybridstämme davon, sowie daraus hergestellte Erzeugnisse;Cereals containing gluten, namely: wheat(such as spelt and khorasan wheat), rye,barley, oats or their hybridised strains, and products thereof ;Céréales contenant dugluten à savoir blé (comme épeautre et bléde Khorasan), seigle,orge, avoine ou leurssouches hybridées etproduits à base de cescéréales 
A2;Crostacei e prodotti a base di crostacei ;Krebstiere und daraus gewonnene Erzeugnisse ;Crustaceans and products thereof ;Crustacés et produits à base de crustacés 
A3;Uova e prodotti a base di uova ;Eier und daraus gewonnene Erzeugnisse ;Eggs and products thereof ;Œufs et produits à base d’œufs 
A4;Pesce e prodotti a base di pesce ;Fische und daraus gewonnene Erzeugnisse ;Fish and products thereof ;Poissons et produits à base de poissons 
A5;Arachidi e prodotti a base di arachidi ;Erdnüsse und daraus gewonnene Erzeugnisse ;Peanuts and products thereof ;Arachides et produits à base d’arachides 
A6;Soia e prodotti a base disoia ;Sojabohnen und daraus gewonnene Erzeugnisse ;Soybeans and products thereof ;Soja et produits à base de soja 
A7;Latte e prodotti a base di latte (incluso il lattosio);Milch und daraus gewonnene Erzeugnisse (einschließlich Laktose) ;Milk and products thereof (including lactose) ;Lait et produits à base de lait (y compris le lactose)
A8;Frutta a guscio:mandorle, nocciole, noci, noci di acagiù, noci di pecan, noci del Brasile, noci macadamia, pistacchi e prodotti a base di frutta a guscio;Schalenfrüchte namentlich Mandeln, Haselnüsse, Walnüsse, Kaschunüsse, Pecannüsse, Paranüsse, Pistazien, Macadamia- oder Queenslandnüsse, sowie daraus gewonnene Erzeugnisse;Nuts namely: almondshazelnuts, walnutscashews, pecan nuts,Brazil nuts, pistachionuts, macadamia or Queensland nuts, and products thereof ;Fruits à coque: amandes, noise Des, noix de cajou, noix de pécan, noix du Brésil, pistaches, noix de Macadamia ou du Queensland, et produitsà base de ces fruits 
A9;Sedano e prodotti a base di sedano ;Sellerie und daraus gewonnene Erzeugnisse ;Celery and products thereof ;Céleri et produits à base de céleri 
A10;Senape e prodotti a base di senape;Senf und daraus gewonnene Erzeugnisse ;Mustard and products thereof;Moutarde et produits à base de moutarde
A11;Semi di sesamo e prodotti a base di semi di sesamo;Sesamsamen und daraus gewonnene Erzeugnisse;Sesame seeds and products thereof;Graines de sésame et produits à base de graines de sésame 
A12;Anidride solforosa e solfiti ;Schwefeldioxid und Sulfite ;Sulphur dioxide and sulphites ;Anhydride sulfureux et sulfites 
A13;Lupini e prodotti a base di lupini ;Lupinen und daraus gewonnene Erzeugnisse ;Lupin and products thereof ;Lupin et produits à base de lupin 
A14;Molluschi e prodotti a base di molluschi;Weichtiere und daraus gewonnene Erzeugnisse ;Molluscs and products thereof ;Mollusques et produits à base de mollusques
